utc_time,x_error (m),y_error (m),z_error (m),satclockerror (m)
2025-09-01 00:00:00,-2.1109306650013897,-0.6340643994883138,-1.9820965370230303,-0.30516912854934725
2025-09-01 00:05:00,5.242737280998024,-9.58123638841973,4.237242187031767,-0.19066140918614066
2025-09-01 00:10:00,-0.4878650415412198,4.412249895474729,0.372596355326922,0.013755246793648979
2025-09-01 00:15:00,1.7174304467625803,5.539165545755308,0.08950481138894961,-0.17678144736945856
2025-09-01 00:20:00,4.734460469001302,-9.29246979609121,-1.2173893519239063,-0.00038092198430517143
2025-09-01 00:25:00,1.0304389573381245,-0.5224104166595949,-0.5608778355528644,-0.08773094199432656
2025-09-01 00:30:00,1.8200453650918202,-0.022000167775387824,-1.1606041794222066,-0.14669718191670084
2025-09-01 00:35:00,2.2037627296682745,-0.41283620394883164,-0.6930162243333622,-0.16528279502498344
2025-09-01 00:40:00,1.9690255367007985,-0.8366498101972737,-0.7624810725169509,-0.16146401558985513
2025-09-01 00:45:00,2.2403055584937808,-0.4273525010256671,-0.11241586207205734,-0.1745743718121801
2025-09-01 00:50:00,2.0085967120875496,0.033615687978141295,0.12846911588379117,-0.18803913310559484
2025-09-01 00:55:00,1.7757318353024212,0.45932065635946845,0.2628985798890985,-0.27417629933830845
2025-09-01 01:00:00,1.8967129710854382,-0.19857804774960214,0.0870302716047987,-0.3318130068952905
2025-09-01 01:05:00,0.9400728487565393,-0.4315535367856275,-0.2268747391014273,-0.35195999935225414
2025-09-01 01:10:00,0.07761393250002291,-0.020059240783966814,-0.06998326693234372,-0.5066212830995123
2025-09-01 01:15:00,-0.20352983212046344,0.00071167949798049,-0.09143746971423836,-0.47458906709901955
2025-09-01 01:20:00,-0.7099453922876753,-0.5361347436007516,-0.4932185643598286,-0.5432230220845731
2025-09-01 01:25:00,-0.5528217259900383,-0.3069757740380308,-0.9482760893123241,-0.5088811154213162
2025-09-01 01:30:00,-1.0068337637506437,-0.664379403533766,-1.2358872080553993,-0.4789353151977707
2025-09-01 01:35:00,-1.7129856144182893,0.23288302066234,-0.6895970404755302,-0.5061199673533899
2025-09-01 01:40:00,-0.9801612299575123,1.0053037518714691,-0.025613665072139025,-0.45609255106831303
